"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1271417";"";"";"Small molecule";"";"322.80";"4";"4";"4.33";"41.99";"2";"1";"0";"4";"N";"0.78";"13.99";"3.24";"3.81";"3.81";"3";"MOL";"-1";"23";"3";"1";"0";"322.0873";"-1.49";"NEUTRAL";"C19H15ClN2O";"O=C(NCc1ccccc1)c1cncc(-c2ccc(Cl)cc2)c1";"FWHXSLFSGPLDBM-UHFFFAOYSA-N";"InChI=1S/C19H15ClN2O/c20-18-8-6-15(7-9-18)16-10-17(13-21-12-16)19(23)22-11-14-4-2-1-3-5-14/h1-10,12-13H,11H2,(H,22,23)";"False";"-1"
"CHEMBL1269882";"";"";"Small molecule";"";"336.82";"5";"5";"4.64";"41.99";"2";"1";"0";"4";"N";"0.75";"None";"3.24";"4.32";"4.32";"3";"MOL";"-1";"24";"3";"1";"0";"336.1029";"-1.60";"NEUTRAL";"C20H17ClN2O";"Cc1ccccc1CNC(=O)c1cncc(-c2ccc(Cl)cc2)c1";"MLDMXXWILKZITA-UHFFFAOYSA-N";"InChI=1S/C20H17ClN2O/c1-14-4-2-3-5-16(14)13-23-20(24)18-10-17(11-22-12-18)15-6-8-19(21)9-7-15/h2-12H,13H2,1H3,(H,23,24)";"False";"-1"
"CHEMBL1278223";"";"";"Small molecule";"";"373.33";"5";"5";"4.60";"64.11";"4";"1";"0";"4";"N";"0.73";"None";"None";"4.99";"4.99";"3";"MOL";"-1";"27";"5";"1";"0";"373.1038";"-1.74";"NEUTRAL";"C19H14F3N3O2";"Cc1cccc(NC(=O)c2cncc(-c3ccc(OC(F)(F)F)cc3)n2)c1";"VSWFPIQYOVAVEO-UHFFFAOYSA-N";"InChI=1S/C19H14F3N3O2/c1-12-3-2-4-14(9-12)24-18(26)17-11-23-10-16(25-17)13-5-7-15(8-6-13)27-19(20,21)22/h2-11H,1H3,(H,24,26)";"False";"-1"
"CHEMBL1269991";"";"";"Small molecule";"";"407.90";"4";"4";"4.17";"54.46";"4";"1";"0";"5";"N";"0.69";"None";"3.24";"3.70";"3.70";"3";"MOL";"-1";"29";"5";"1";"0";"407.1401";"-1.76";"NEUTRAL";"C23H22ClN3O2";"O=C(NCc1ccccc1N1CCOCC1)c1cncc(-c2ccc(Cl)cc2)c1";"JJCBTWUQVASSGZ-UHFFFAOYSA-N";"InChI=1S/C23H22ClN3O2/c24-21-7-5-17(6-8-21)19-13-20(15-25-14-19)23(28)26-16-18-3-1-2-4-22(18)27-9-11-29-12-10-27/h1-8,13-15H,9-12,16H2,(H,26,28)";"False";"-1"
"CHEMBL1277876";"";"";"Small molecule";"";"393.88";"5";"5";"3.72";"71.01";"5";"1";"0";"5";"N";"0.71";"13.82";"6.18";"3.25";"3.23";"3";"MOL";"-1";"28";"6";"1";"0";"393.1356";"-1.85";"NEUTRAL";"C21H20ClN5O";"O=C(NCc1cccnc1N1CCCC1)c1cncc(-c2ccc(Cl)cc2)n1";"XUEHBVFEQMVDHJ-UHFFFAOYSA-N";"InChI=1S/C21H20ClN5O/c22-17-7-5-15(6-8-17)18-13-23-14-19(26-18)21(28)25-12-16-4-3-9-24-20(16)27-10-1-2-11-27/h3-9,13-14H,1-2,10-12H2,(H,25,28)";"False";"-1"
"CHEMBL450458";"";"";"Small molecule";"";"334.85";"2";"2";"3.92";"45.48";"3";"1";"0";"6";"N";"0.87";"None";"9.32";"3.33";"1.42";"2";"MOL";"-1";"23";"4";"1";"0";"334.1448";"-1.57";"BASE";"C18H23ClN2O2";"CN(C)CC(C)(C)CNC(=O)c1ccc(-c2ccc(Cl)cc2)o1";"CNZJYNXLIROXSK-UHFFFAOYSA-N";"InChI=1S/C18H23ClN2O2/c1-18(2,12-21(3)4)11-20-17(22)16-10-9-15(23-16)13-5-7-14(19)8-6-13/h5-10H,11-12H2,1-4H3,(H,20,22)";"False";"-1"
"CHEMBL487307";"";"";"Small molecule";"";"434.85";"1";"1";"5.58";"36.69";"3";"0";"1";"3";"N";"0.54";"None";"2.55";"5.12";"5.12";"3";"MOL";"-1";"30";"4";"0";"1";"434.1009";"-1.77";"NEUTRAL";"C22H18ClF3N2O2";"O=C(c1ccc(-c2ccc(Cl)cc2)o1)N1CCN(c2cccc(C(F)(F)F)c2)CC1";"XGVHEGGVYVHPBP-UHFFFAOYSA-N";"InChI=1S/C22H18ClF3N2O2/c23-17-6-4-15(5-7-17)19-8-9-20(30-19)21(29)28-12-10-27(11-13-28)18-3-1-2-16(14-18)22(24,25)26/h1-9,14H,10-13H2";"False";"-1"
"CHEMBL1277700";"";"";"Small molecule";"";"409.88";"6";"6";"2.96";"80.24";"6";"1";"0";"5";"N";"0.70";"12.69";"6.13";"2.63";"2.60";"3";"MOL";"-1";"29";"7";"1";"0";"409.1306";"-1.96";"NEUTRAL";"C21H20ClN5O2";"O=C(NCc1cccnc1N1CCOCC1)c1cncc(-c2ccc(Cl)cc2)n1";"NEGLDDATOGSCRT-UHFFFAOYSA-N";"InChI=1S/C21H20ClN5O2/c22-17-5-3-15(4-6-17)18-13-23-14-19(26-18)21(28)25-12-16-2-1-7-24-20(16)27-8-10-29-11-9-27/h1-7,13-14H,8-12H2,(H,25,28)";"False";"-1"
"CHEMBL1269990";"";"";"Small molecule";"";"405.93";"4";"4";"5.32";"45.23";"3";"1";"1";"5";"N";"0.62";"None";"4.82";"4.76";"4.76";"3";"MOL";"-1";"29";"4";"1";"1";"405.1608";"-1.60";"NEUTRAL";"C24H24ClN3O";"O=C(NCc1ccccc1N1CCCCC1)c1cncc(-c2ccc(Cl)cc2)c1";"DDGYZFJJKXLJOG-UHFFFAOYSA-N";"InChI=1S/C24H24ClN3O/c25-22-10-8-18(9-11-22)20-14-21(16-26-15-20)24(29)27-17-19-6-2-3-7-23(19)28-12-4-1-5-13-28/h2-3,6-11,14-16H,1,4-5,12-13,17H2,(H,27,29)";"False";"-1"
"CHEMBL401258";"";"";"Small molecule";"";"302.33";"13";"39";"4.38";"66.03";"3";"1";"0";"3";"N";"0.78";"None";"None";"4.06";"4.06";"3";"MOL";"-1";"23";"4";"1";"0";"302.1055";"-1.92";"NEUTRAL";"C19H14N2O2";"Cc1cccc(NC(=O)c2ccc(-c3ccc(C#N)cc3)o2)c1";"WKHNOPNLWLSUBU-UHFFFAOYSA-N";"InChI=1S/C19H14N2O2/c1-13-3-2-4-16(11-13)21-19(22)18-10-9-17(23-18)15-7-5-14(12-20)6-8-15/h2-11H,1H3,(H,21,22)";"False";"-1"
