"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL3662077";"";"";"Small molecule";"";"445.50";"16";"45";"4.52";"72.47";"4";"1";"0";"7";"N";"0.67";"3.96";"None";"3.82";"2.88";"1";"MOL";"-1";"30";"5";"1";"0";"445.1535";"-0.33";"ACID";"C21H26F3NO4S";"CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC(F)(F)CC1";"XUCXIMYTIQZZHZ-UHFFFAOYSA-N";"InChI=1S/C21H26F3NO4S/c1-20(6-8-21(23,24)9-7-20)12-29-18-11-17(22)16(10-15(18)13-2-3-13)19(26)25-30(27,28)14-4-5-14/h10-11,13-14H,2-9,12H2,1H3,(H,25,26)";"False";"-1"
"CHEMBL3662190";"";"";"Small molecule";"";"435.56";"19";"78";"4.66";"72.47";"4";"1";"0";"7";"N";"0.68";"3.96";"None";"4.46";"3.52";"1";"MOL";"-1";"30";"5";"1";"0";"435.1880";"-0.19";"ACID";"C23H30FNO4S";"CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2";"GFDXIUXAFNREKM-UHFFFAOYSA-N";"InChI=1S/C23H30FNO4S/c1-22(6-8-23(9-7-22)10-11-23)14-29-20-13-19(24)18(12-17(20)15-2-3-15)21(26)25-30(27,28)16-4-5-16/h12-13,15-16H,2-11,14H2,1H3,(H,25,26)";"False";"-1"
"CHEMBL1270208";"";"";"Small molecule";"";"421.81";"20";"36";"4.67";"64.11";"4";"1";"0";"6";"N";"0.63";"13.86";"3.32";"3.98";"3.98";"3";"MOL";"-1";"29";"5";"1";"0";"421.0805";"-1.98";"NEUTRAL";"C20H15ClF3N3O2";"O=C(NCc1cccnc1OCC(F)(F)F)c1cncc(-c2ccc(Cl)cc2)c1";"ZSKFKDOCPJGONT-UHFFFAOYSA-N";"InChI=1S/C20H15ClF3N3O2/c21-17-5-3-13(4-6-17)15-8-16(10-25-9-15)18(28)27-11-14-2-1-7-26-19(14)29-12-20(22,23)24/h1-10H,11-12H2,(H,27,28)";"False";"-1"
"CHEMBL1278044";"";"";"Small molecule";"";"328.38";"11";"16";"3.88";"78.67";"4";"1";"0";"3";"N";"0.79";"None";"None";"3.93";"3.93";"3";"MOL";"-1";"25";"5";"1";"0";"328.1324";"-1.75";"NEUTRAL";"C20H16N4O";"Cc1cc(C)cc(NC(=O)c2cncc(-c3ccc(C#N)cc3)n2)c1";"UFTSEYQJZURHKC-UHFFFAOYSA-N";"InChI=1S/C20H16N4O/c1-13-7-14(2)9-17(8-13)23-20(25)19-12-22-11-18(24-19)16-5-3-15(10-21)4-6-16/h3-9,11-12H,1-2H3,(H,23,25)";"False";"-1"
"CHEMBL4471012";"";"";"Unknown";"";"539.46";"12";"36";"5.02";"84.30";"6";"1";"2";"6";"N";"0.48";"3.92";"7.33";"2.80";"3.03";"3";"MOL";"-1";"35";"7";"1";"2";"538.1008";"-1.63";"ACID";"C24H25Cl2FN4O3S";"Cc1nn([C@@H]2CCN([C@H](C)c3cc(Cl)cc(Cl)c3)C2)c2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc12";"KQQXPTRMUYKUIC-RDTXWAMCSA-N";"InChI=1S/C24H25Cl2FN4O3S/c1-13-20-10-21(24(32)29-35(33,34)19-3-4-19)22(27)11-23(20)31(28-13)18-5-6-30(12-18)14(2)15-7-16(25)9-17(26)8-15/h7-11,14,18-19H,3-6,12H2,1-2H3,(H,29,32)/t14-,18-/m1/s1";"False";"-1"
"CHEMBL1277793";"";"";"Small molecule";"";"409.88";"1";"1";"2.96";"80.24";"6";"1";"0";"5";"N";"0.70";"12.66";"8.42";"2.03";"1.29";"3";"MOL";"-1";"29";"7";"1";"0";"409.1306";"-1.72";"NEUTRAL";"C21H20ClN5O2";"O=C(NCc1cnccc1N1CCOCC1)c1cncc(-c2ccc(Cl)cc2)n1";"OWOWAFKTRPQGDX-UHFFFAOYSA-N";"InChI=1S/C21H20ClN5O2/c22-17-3-1-15(2-4-17)18-13-24-14-19(26-18)21(28)25-12-16-11-23-6-5-20(16)27-7-9-29-10-8-27/h1-6,11,13-14H,7-10,12H2,(H,25,28)";"False";"-1"
"CHEMBL1277958";"";"";"Small molecule";"";"333.39";"5";"5";"4.10";"64.11";"4";"1";"0";"5";"N";"0.76";"None";"None";"3.76";"3.76";"3";"MOL";"-1";"25";"5";"1";"0";"333.1477";"-1.78";"NEUTRAL";"C20H19N3O2";"CCOc1ccc(-c2cncc(C(=O)Nc3cccc(C)c3)n2)cc1";"MDLXULGUOHLVMN-UHFFFAOYSA-N";"InChI=1S/C20H19N3O2/c1-3-25-17-9-7-15(8-10-17)18-12-21-13-19(23-18)20(24)22-16-6-4-5-14(2)11-16/h4-13H,3H2,1-2H3,(H,22,24)";"False";"-1"
"CHEMBL482677";"";"";"Small molecule";"";"304.78";"2";"2";"2.99";"36.69";"3";"0";"0";"2";"N";"0.86";"None";"6.52";"2.35";"2.30";"2";"MOL";"-1";"21";"4";"0";"0";"304.0979";"-1.51";"NEUTRAL";"C16H17ClN2O2";"CN1CCN(C(=O)c2ccc(-c3ccc(Cl)cc3)o2)CC1";"FTDIEBSIUGZEPF-UHFFFAOYSA-N";"InChI=1S/C16H17ClN2O2/c1-18-8-10-19(11-9-18)16(20)15-7-6-14(21-15)12-2-4-13(17)5-3-12/h2-7H,8-11H2,1H3";"False";"-1"
"CHEMBL269764";"";"";"Small molecule";"";"348.79";"1";"1";"5.40";"55.13";"3";"1";"1";"3";"N";"0.54";"13.88";"4.47";"4.45";"4.45";"4";"MOL";"-1";"25";"4";"1";"1";"348.0666";"-1.78";"NEUTRAL";"C20H13ClN2O2";"O=C(Nc1ccc2ncccc2c1)c1ccc(-c2ccc(Cl)cc2)o1";"MGDBZNLDOYTHOG-UHFFFAOYSA-N";"InChI=1S/C20H13ClN2O2/c21-15-5-3-13(4-6-15)18-9-10-19(25-18)20(24)23-16-7-8-17-14(12-16)2-1-11-22-17/h1-12H,(H,23,24)";"False";"-1"
"CHEMBL3950353";"";"";"Small molecule";"";"484.46";"17";"73";"4.50";"95.32";"7";"1";"0";"4";"N";"0.55";"6.52";"0.59";"4.02";"3.35";"3";"MOL";"-1";"32";"7";"1";"0";"484.0287";"-2.27";"NEUTRAL";"C19H12F4N4O3S2";"N#Cc1cc(C(F)(F)F)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)c(F)cc21";"YYWBVRDWEWYDOV-UHFFFAOYSA-N";"InChI=1S/C19H12F4N4O3S2/c20-13-8-15-16(9-17(13)32(28,29)26-18-25-3-6-31-18)30-5-4-27(15)14-2-1-12(19(21,22)23)7-11(14)10-24/h1-3,6-9H,4-5H2,(H,25,26)";"False";"-1"
"CHEMBL4444707";"";"";"Unknown";"";"563.01";"12";"31";"5.36";"75.71";"5";"1";"2";"8";"N";"0.44";"4.01";"7.12";"3.47";"3.72";"2";"MOL";"-1";"37";"6";"1";"2";"562.1316";"-1.42";"ACID";"C25H27ClF4N2O4S";"CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3cc(C(F)(F)F)ccc3Cl)CC2)cc1F";"KYBPOTYVFWNSGS-UHFFFAOYSA-N";"InChI=1S/C25H27ClF4N2O4S/c1-37(34,35)31-24(33)20-11-19(16-2-3-16)23(12-22(20)27)36-14-15-6-8-32(9-7-15)13-17-10-18(25(28,29)30)4-5-21(17)26/h4-5,10-12,15-16H,2-3,6-9,13-14H2,1H3,(H,31,33)";"False";"-1"
"CHEMBL250698";"";"";"Small molecule";"";"366.80";"1";"1";"4.63";"63.83";"4";"1";"0";"4";"N";"0.73";"13.71";"3.48";"4.13";"4.13";"3";"MOL";"-1";"26";"5";"1";"0";"366.0771";"-1.54";"NEUTRAL";"C20H15ClN2O3";"O=C(Nc1cccc(C2=NCCO2)c1)c1ccc(-c2ccc(Cl)cc2)o1";"HYGDVQUWLNEKQY-UHFFFAOYSA-N";"InChI=1S/C20H15ClN2O3/c21-15-6-4-13(5-7-15)17-8-9-18(26-17)19(24)23-16-3-1-2-14(12-16)20-22-10-11-25-20/h1-9,12H,10-11H2,(H,23,24)";"False";"-1"
